StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,Subject #,Date,birthdate,current age,sex,gender,ethnicity,race,years of school,handedness,english nativeness,second native yn,second native lang,lang classification,colorblindness,colorblind spectrum
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Subject’s Statement

In checking the box below, I volunteer to take part in this research study. The experiment has been explained to me and I have had the opportunity to ask questions. If I have questions about the research later, or if I have been harmed by participating in this study, I am aware I can contact the PI or Project Coordinator of this study. If I have questions about my rights as a research subject, I understand I can call the Human Subjects Division at 206-543-0098.","Enter your Subject Number.

If you don't know this, ask the experimenter.",Enter today's date (MM/DD/YYYY):,What is your birthdate? (MM/DD/YYYY),How old are you?,What is your biological sex?,What gender do you identify with?,What is your ethnicity?,What is your race?,How many years of school have you completed?,What is your preferred hand?,Do you speak English natively?,Do you have a second native language?,What is your second native language?,"We would like you to decide how to best classify your language abilities. Read the explanation of each language classification below and choose which best represents your language abilities.

	Monolingual: Highly proficient in speaking and understanding in only one language with no other language exposure before 10 years old.
	Early Bilingual: Highly proficient in speaking and understanding in two or more languages with exposure to both at 7 years old or earlier.
	Late Bilingual: Highly proficient in speaking and understanding in two or more languages with exposure to both after 7 years old.",Are you colorblind?,What spectrum of colorblindness?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1213222890""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}"
2023-04-10 10:43:08,2023-04-10 10:53:04,IP Address,205.175.118.117,100,595,True,2023-04-10 10:53:05,R_3g1nm1QE02zxzF7,,,,,47.6137,-122.3104,anonymous,EN,"I consent, and I wish to participate.",7500,04/10/2023,04/09/2004,19,Female,Female,Prefer Not To Answer,Asian,12 (Completed Highschool),Right,No,Yes,Chinese,Early Bilingual,No,
2023-04-10 12:35:09,2023-04-10 12:43:06,IP Address,205.175.118.119,100,477,True,2023-04-10 12:43:07,R_3iteEasHPkSO4aH,,,,,47.6137,-122.3104,anonymous,EN,"I consent, and I wish to participate.",7502,04/10/2023,07/31/2002,20,Female,Female,Not Hispanic or Latino,Asian,15 (College Junior),Right,No,Yes,Cantonese,Early Bilingual,No,
2023-04-10 12:22:14,2023-04-10 12:49:06,IP Address,205.175.118.117,100,1611,True,2023-04-10 12:49:06,R_2zcjj91kbmSoeyY,,,,,47.6137,-122.3104,anonymous,EN,"I consent, and I wish to participate.",7501,10/28/2000,10/28/2000,22,Female,Female,Not Hispanic or Latino,Asian,15 (College Junior),Right,No,No,,Late Bilingual,No,
2023-04-10 14:09:27,2023-04-10 14:30:45,IP Address,205.175.118.119,100,1278,True,2023-04-10 14:30:46,R_1iqhHdgH4sIgA5F,,,,,47.6137,-122.3104,anonymous,EN,"I consent, and I wish to participate.",7503,05/10/2023,11/05/1998,24,Female,Other,Not Hispanic or Latino,Multiracial,15 (College Junior),Right,Yes,No,,Monolingual,No,
2023-04-10 14:18:23,2023-04-10 16:24:08,IP Address,205.175.118.117,100,7544,True,2023-04-10 16:24:08,R_6g5h3GcuRvfwMPn,,,,,47.6137,-122.3104,anonymous,EN,"I consent, and I wish to participate.",7505,04/10/2023,08/11/2004,18,Female,Female,Not Hispanic or Latino,White,12 (Completed Highschool),Right,Yes,No,,Monolingual,No,
2023-04-10 15:47:09,2023-04-10 16:25:10,IP Address,205.175.118.119,100,2281,True,2023-04-10 16:25:11,R_3gLyJJOYaLOYnL5,,,,,47.6137,-122.3104,anonymous,EN,"I consent, and I wish to participate.",7506,04/10/2023,10/20/2003,19,Female,Other,Not Hispanic or Latino,White,13 (College Freshman),Right,Yes,No,,Monolingual,No,
2023-04-10 17:42:17,2023-04-10 18:10:18,IP Address,205.175.118.119,100,1681,True,2023-04-10 18:10:18,R_NWuOHaa7wO1dCoN,,,,,47.6137,-122.3104,anonymous,EN,"I consent, and I wish to participate.",7507,04/10/2023,08/27/1998,24,Male,Male,Not Hispanic or Latino,Other,15 (College Junior),Right,No,No,,None of the above,No,
2023-04-10 17:46:01,2023-04-10 18:11:57,IP Address,205.175.118.117,100,1555,True,2023-04-10 18:11:58,R_AArVFmS99Ny8tzj,,,,,47.6137,-122.3104,anonymous,EN,"I consent, and I wish to participate.",7508,04/10/2023,11/01/2002,20,Male,Male,Not Hispanic or Latino,Asian,14 (College Sophmore),Right,No,Yes,Chinese,None of the above,No,
