StartDate,EndDate,Duration (in seconds),RecipientLastName,Id,current age,sex,gender,ethnicity,race,years of school,handedness,english nativeness,second native yn,second native lang,lang classification
4/10/23 10:43,4/10/23 10:53,595,,7500,19,Female,Female,Prefer Not To Answer,Asian,12 (Completed Highschool),Right,No,Yes,Chinese,Early Bilingual
4/10/23 12:35,4/10/23 12:43,477,,7502,20,Female,Female,Not Hispanic or Latino,Asian,15 (College Junior),Right,No,Yes,Cantonese,Early Bilingual
4/10/23 12:22,4/10/23 12:49,1611,,7501,22,Female,Female,Not Hispanic or Latino,Asian,15 (College Junior),Right,No,No,,Late Bilingual
4/10/23 14:09,4/10/23 14:30,1278,,7503,24,Female,Other,Not Hispanic or Latino,Multiracial,15 (College Junior),Right,Yes,No,,Monolingual
4/10/23 14:18,4/10/23 16:24,7544,,7505,18,Female,Female,Not Hispanic or Latino,White,12 (Completed Highschool),Right,Yes,No,,Monolingual
4/10/23 15:47,4/10/23 16:25,2281,,7506,19,Female,Other,Not Hispanic or Latino,White,13 (College Freshman),Right,Yes,No,,Monolingual
4/10/23 17:42,4/10/23 18:10,1681,,7507,24,Male,Male,Not Hispanic or Latino,Other,15 (College Junior),Right,No,No,,None of the above
4/10/23 17:46,4/10/23 18:11,1555,,7508,20,Male,Male,Not Hispanic or Latino,Asian,14 (College Sophmore),Right,No,Yes,Chinese,None of the above
4/11/23 9:51,4/11/23 9:59,454,,7509,18,Male,Male,Not Hispanic or Latino,White,12 (Completed Highschool),Right,Yes,No,,Monolingual
4/11/23 11:22,4/11/23 11:38,934,,7512,19,Female,Female,Not Hispanic or Latino,White,13 (College Freshman),Left,Yes,No,,Monolingual
4/11/23 12:54,4/11/23 13:17,1364,,7513,19,Male,Male,Not Hispanic or Latino,White,13 (College Freshman),Right,Yes,No,,Monolingual
4/11/23 12:57,4/11/23 13:24,1624,,7510,20,Female,Female,Not Hispanic or Latino,Asian,16 (Completed College),Right,Yes,No,,Early Bilingual
4/11/23 14:46,4/11/23 15:00,854,,7515,18,Female,Female,Not Hispanic or Latino,Asian,13 (College Freshman),Right,No,Yes,Chinese,Early Bilingual
4/11/23 10:21,4/11/23 16:37,22513,,7516,18,Female,Female,Not Hispanic or Latino,Asian,12 (Completed Highschool),Right,Yes,No,,Monolingual
4/11/23 16:20,4/11/23 16:38,1091,,7517,18,Female,Female,Not Hispanic or Latino,White,13 (College Freshman),Right,Yes,No,,Monolingual
4/11/23 17:53,4/11/23 18:24,1811,,7519,18,Female,Female,Not Hispanic or Latino,Other,13 (College Freshman),Right,No,Yes,Arabic,Early Bilingual
4/11/23 17:57,4/11/23 18:26,1743,,7518,18,Male,Male,Not Hispanic or Latino,White,14 (College Sophmore),Right,Yes,No,,Monolingual
4/12/23 8:56,4/12/23 9:03,430,,7520,19,Male,Male,Not Hispanic or Latino,Asian,13 (College Freshman),Right,No,Yes,Punjabi,Early Bilingual
4/12/23 12:11,4/12/23 12:19,495,,7504,19,Male,Male,Hispanic or Latino,Other,12 (Completed Highschool),Right,Yes,Yes,Spanish,Early Bilingual
4/12/23 10:57,4/12/23 12:23,5171,,7522,21,Male,Male,Not Hispanic or Latino,Asian,15 (College Junior),Right,Yes,No,,Monolingual
4/12/23 15:26,4/12/23 15:41,895,,7523,22,Male,Male,Not Hispanic or Latino,White,15 (College Junior),Right,No,No,,Late Bilingual
4/12/23 15:30,4/12/23 15:42,704,,7525,18,Female,Female,Hispanic or Latino,Other,12 (Completed Highschool),Right,Yes,Yes,Spanish,Early Bilingual
4/13/23 8:50,4/13/23 9:02,773,,7514,18,Female,Female,Not Hispanic or Latino,Asian,12 (Completed Highschool),Right,No,Yes,Chinese,Monolingual
4/13/23 8:53,4/13/23 9:09,917,,7520,19,Female,Female,Not Hispanic or Latino,Asian,15 (College Junior),Left,No,Yes,Cantonese,Early Bilingual
4/13/23 10:34,4/13/23 10:41,402,,7524,19,Female,Female,Not Hispanic or Latino,White,13 (College Freshman),Right,Yes,No,,None of the above
4/13/23 10:30,4/13/23 10:44,809,,7526,19,Female,Other,Hispanic or Latino,Prefer Not to Answer,13 (College Freshman),Right,No,Yes,spanish,Early Bilingual
4/13/23 12:12,4/13/23 12:26,867,,7528,19,Male,Male,Hispanic or Latino,White,13 (College Freshman),Right,Yes,No,,Monolingual
4/13/23 12:38,4/13/23 12:46,514,,7527,22,Female,Female,Hispanic or Latino,White,12 (Completed Highschool),Right,Yes,Yes,Spanish,Early Bilingual
4/13/23 13:46,4/13/23 14:00,833,,7529,19,Male,Male,Not Hispanic or Latino,Asian,13 (College Freshman),Right,Yes,Yes,Cantonese ,Late Bilingual
4/13/23 14:05,4/13/23 14:10,292,,7530,19,Female,Female,Not Hispanic or Latino,Asian,12 (Completed Highschool),Right,Yes,No,,Monolingual
4/13/23 15:40,4/13/23 15:47,416,,7532,20,Female,Female,Not Hispanic or Latino,Multiracial,15 (College Junior),Right,Yes,No,,Monolingual
