id,gender,language
7500,Female,Early Bilingual
7502,Female,Early Bilingual
7501,Female,Late Bilingual
7503,Other,Monolingual
7505,Female,Monolingual
7506,Other,Monolingual
7507,Male,None of the above
7508,Male,None of the above
7509,Male,Monolingual
7512,Female,Monolingual
7513,Male,Monolingual
7510,Female,Early Bilingual
7515,Female,Early Bilingual
7516,Female,Monolingual
7517,Female,Monolingual
7519,Female,Early Bilingual
7518,Male,Monolingual
7521,Male,Early Bilingual
7504,Male,Early Bilingual
7522,Male,Monolingual
7523,Male,Late Bilingual
7525,Female,Early Bilingual
7514,Female,Monolingual
7520,Female,Early Bilingual
7524,Female,None of the above
7526,Other,Early Bilingual
7528,Male,Monolingual
7527,Female,Early Bilingual
7529,Male,Late Bilingual
7530,Female,Monolingual
7532,Female,Monolingual
7531,Female,Early Bilingual
7535,Female,Late Bilingual
7533,Female,Early Bilingual
7536,Female,Monolingual
7537,Male,Monolingual
7540,Male,Early Bilingual
7538,Female,Early Bilingual
7542,Male,Early Bilingual
7541,Female,Early Bilingual
7511,Female,Monolingual
,,
