,block,trial,image,response,Q
0,0,0,0,,
1,1,0,1,2.0,-0.25
2,1,1,2,2.0,0.25
3,1,2,3,3.0,-0.25
4,1,3,3,3.0,-0.4375
5,1,4,1,3.0,-0.25
6,1,5,3,2.0,0.25
7,1,6,2,2.0,0.4375
8,1,7,1,1.0,0.25
9,1,8,2,2.0,0.578125
10,1,9,1,2.0,-0.4375
11,1,10,2,2.0,0.68359375
12,1,11,3,2.0,0.4375
13,1,12,3,1.0,-0.25
14,1,13,2,2.0,0.7626953125
15,1,14,1,1.0,0.4375
16,1,15,2,2.0,0.822021484375
17,1,16,3,2.0,0.578125
18,1,17,1,1.0,0.578125
19,1,18,3,2.0,0.68359375
20,1,19,2,2.0,0.86651611328125
21,1,20,1,1.0,0.68359375
22,1,21,1,2.0,-0.578125
23,1,22,3,2.0,0.7626953125
24,1,23,1,2.0,-0.68359375
25,1,24,2,2.0,0.8998870849609375
26,1,25,2,2.0,0.9249153137207031
27,1,26,3,2.0,0.822021484375
28,1,27,2,2.0,0.9436864852905273
29,1,28,1,1.0,0.7626953125
30,1,29,3,2.0,0.86651611328125
31,1,30,3,2.0,0.8998870849609375
32,1,31,2,2.0,0.9577648639678955
33,1,32,3,2.0,0.9249153137207031
34,1,33,1,1.0,0.822021484375
35,1,34,2,2.0,0.9683236479759216
36,1,35,1,2.0,-0.7626953125
37,1,36,1,1.0,0.86651611328125
38,1,37,3,2.0,0.9436864852905273
39,1,38,2,2.0,0.9762427359819412
40,2,39,1,2.0,-0.25
41,2,40,2,2.0,-0.25
42,2,41,3,2.0,0.25
43,2,42,4,2.0,0.25
44,2,43,5,2.0,-0.25
45,2,44,6,2.0,-0.25
46,2,45,1,3.0,-0.25
47,2,46,5,3.0,0.25
48,2,47,4,3.0,-0.25
49,2,48,3,2.0,0.4375
50,2,49,2,3.0,-0.25
51,2,50,3,2.0,0.578125
52,2,51,4,2.0,0.4375
53,2,52,6,2.0,-0.4375
54,2,53,6,3.0,0.25
55,2,54,2,2.0,-0.4375
56,2,55,1,2.0,-0.4375
57,2,56,5,3.0,0.4375
58,2,57,1,1.0,0.25
59,2,58,2,1.0,0.25
60,2,59,3,2.0,0.68359375
61,2,60,4,2.0,0.578125
62,2,61,5,3.0,0.578125
63,2,62,6,3.0,0.4375
64,2,63,2,1.0,0.4375
65,2,64,5,3.0,0.68359375
66,2,65,3,2.0,0.7626953125
67,2,66,6,3.0,0.578125
68,2,68,1,1.0,0.4375
69,2,69,4,2.0,0.68359375
70,2,70,4,2.0,0.7626953125
71,2,71,2,1.0,0.578125
72,2,72,6,3.0,0.68359375
73,2,73,5,3.0,0.7626953125
74,2,74,3,2.0,0.822021484375
75,2,75,1,1.0,0.578125
76,2,76,6,3.0,0.7626953125
77,2,77,3,2.0,0.86651611328125
78,2,78,5,1.0,-0.25
79,2,79,2,1.0,0.68359375
80,2,80,4,3.0,-0.4375
81,2,81,2,1.0,0.7626953125
